address_street,address_house
аллея Академика Лихачева,7
Крестовский проспект,4
Депутатская улица,26
Аптекарский проспект,5
Барочная улица,6
Конногвардейский бульвар,5
Спортивная улица,2
набережная Гребного канала,1
Ждановская улица,45
набережная Реки Фонтанки,76к2
Морской проспект,15
набережная Гребного канала,1
1-я Березовая аллея,7
Тележная улица,32
Крестовский проспект,4
Барочная улица,6
набережная Гребного канала,1
Крестовский проспект,4
набережная Адмирала Лазарева,22
набережная Гребного канала,1
Морской проспект,15
1-я Березовая аллея,7
1-я Березовая аллея,7
набережная Адмирала Лазарева,22
Кирочная улица,62
набережная Гребного канала,1
улица Грота,1-3Г
Ушаковская набережная,3к4
Санаторная аллея,3
Санаторная аллея,3
улица Рентгена,25
улица Эсперова,10
Петровский проспект,11к2
улица Эсперова,10
Ждановская улица,45
переулок Басков,2
Галерная улица,40
Ждановская улица,45
набережная Адмирала Лазарева,10
Петровский проспект,11к2
Вязовая улица,8
Ждановская улица,45
переулок Басков,2
набережная Адмирала Лазарева,22
м. Крестовский остров,проезд Петровская коса
переулок Басков,2
Вязовая улица,8
переулок Басков,2
набережная Адмирала Лазарева,22
улица Профессора Попова,37к3
набережная Адмирала Лазарева,22
Смоленская улица,14
набережная Гребного канала,1
Ждановская улица,45
Приморский проспект,62к1
улица Грота,1-3Г
набережная Гребного канала,1
набережная Реки Фонтанки,76к2
Свердловская набережная,58
Петровский проспект,11к2
улица Победы,3
Вязовая улица,8
улица Победы,5
Ждановская улица,45
Вязовая улица,8
Мебельная улица,49/92
улица Большая Зеленина,34
Большая Посадская улица,12
Приморский проспект,78к5
Свердловская набережная,58
Офицерский переулок,8с2
Петровский проспект,2с2
Вязовая улица,8
Орловская улица,1к3
Каменноостровский проспект,64К2
Ждановская улица,45
Приморский проспект,46
Боровая улица,19А
набережная Адмирала Лазарева,22
Ждановская улица,45
Приморский проспект,52К1
Петровский проспект,5
Свердловская набережная,58
улица Жукова,3
Смольный проспект,17
набережная Лейтенанта Шмидта,21
проезд Петровская коса,6к1
Приморское шоссе,424
Ждановская улица,45
Каменноостровский проспект,64К2
проезд Петровская коса,6к1
Смольный проспект,13
Петровский проспект,2с2
Ушаковская набережная,3к4
Петровский проспект,24к2
Ждановская улица,45
4-я Советская улица,9
проезд Петровская коса,6к1
набережная Лейтенанта Шмидта,21
Ждановская улица,45
Ждановская улица,45
Ждановская улица,45
Ждановская улица,45
Ждановская улица,45
Вязовая улица,8
Орловская улица,1
Конногвардейский бульвар,5
улица Смольного,2к3
Наличная улица,26к1
Софийский бульвар,32а
переулок Басков,2
Смольный проспект,15
улица Грота,1-3Г
Конногвардейский бульвар,5
Московский проспект,183-185Ак4А
Пискаревский проспект,1
Вязовая улица,8
Ждановская улица,45
набережная Адмирала Лазарева,22
Пискаревский проспект,1
аллея Академика Лихачева,7
аллея Академика Лихачева,7
Барочная улица,6
улица Эсперова,10
улица Эсперова,10
набережная Реки Фонтанки,76к2
переулок Басков,2
переулок Басков,2
улица Грота,1-3Г
переулок Басков,2
Смоленская улица,14
переулок Басков,2
улица Малая Зеленина,8
Ждановская улица,45
Барочная улица,12
Смольный проспект,13
Смольный проспект,13
Смольная набережная,8к2
Дибуновская улица,22
набережная Адмирала Лазарева,22
набережная Адмирала Лазарева,22
набережная Реки Карповки,16к2
Вязовая улица,8
набережная Адмиралтейского Канала,15
1-я Березовая аллея,7
Ждановская улица,45
улица Рентгена,25
набережная Гребного канала,1
набережная Адмирала Лазарева,22
набережная Адмирала Лазарева,22
набережная Адмирала Лазарева,22
набережная Адмирала Лазарева,22
набережная Адмирала Лазарева,22
набережная Адмирала Лазарева,22
Петровский проспект,11к2
Ждановская улица,45
Санаторная аллея,3
Санаторная аллея,3
набережная Адмирала Лазарева,22
набережная Адмирала Лазарева,22
набережная Адмирала Лазарева,22
набережная Адмирала Лазарева,22
набережная Адмирала Лазарева,22
набережная Адмирала Лазарева,22
набережная Адмирала Лазарева,22
набережная Адмирала Лазарева,22
набережная Адмирала Лазарева,22
набережная Адмирала Лазарева,22
набережная Гребного канала,1
проспект Обуховской обороны,70к4
набережная Гребного канала,1
Петровский проспект,11к2
Ждановская улица,45
Петровский проспект,11к2
Ждановская улица,45
переулок Басков,2
Петровский проспект,11к2
Петровский проспект,11к2
Санаторная аллея,3
переулок Басков,2
Петровский проспект,11к2
переулок Басков,2
набережная Адмирала Лазарева,22
Петровский проспект,11к2
набережная Гребного канала,1
Петровский проспект,11к2
аллея Академика Лихачева,7
Барочная улица,6
Петровский проспект,11к2
Петровский проспект,11к2
Ждановская улица,45
набережная Гребного канала,1
Петровский проспект,11к2
переулок Басков,2
Петровский проспект,11к2
набережная Адмирала Лазарева,22
Барочная улица,6
Барочная улица,6
набережная Адмирала Лазарева,22
Петровский проспект,11к2
набережная Адмирала Лазарева,14
Барочная улица,6
набережная Гребного канала,1
Петровский проспект,11к2
Петровский проспект,11к2
переулок Басков,2
набережная Адмирала Лазарева,14
набережная Адмирала Лазарева,22
Петровский проспект,11к2
Петровский проспект,11к2
Петровский проспект,11к2
Петровский проспект,11к2
Петровский проспект,11к2
переулок Басков,2
улица Грота,1-3Г
проспект Обуховской обороны,70к4
набережная Гребного канала,1
Петровский проспект,11к2
набережная Адмирала Лазарева,22
проспект Обуховской обороны,70к4
Барочная улица,6
Барочная улица,6
Петровский проспект,22к2
Петровский проспект,11к2
Петровский проспект,11к2
Петровский проспект,11к2
Аптекарский проспект,5
Петровский проспект,11к2
Петровский проспект,22к2
Петровский проспект,11к2
Барочная улица,6
Петровский проспект,11к2
Петровский проспект,11к2
Санаторная аллея,3
улица Грота,1-3Г
набережная Гребного канала,1
Петровский проспект,11к2
улица Эсперова,10
аллея Академика Лихачева,7
переулок Басков,2
проспект Обуховской обороны,70к4
проспект Обуховской обороны,70к4
Петровский проспект,11к2
аллея Академика Лихачева,7
Петровский проспект,11к2
Петровский проспект,11к2
Барочная улица,6
аллея Академика Лихачева,7
Аптекарский проспект,5
Петровский проспект,11к2
аллея Академика Лихачева,7
Петровский проспект,11к2
Петровский проспект,11к2
Барочная улица,6
Петровский проспект,22к2
Петровский проспект,11к2
Петровский проспект,11к2
Московский проспект,183-185Ак8
Зоологический переулок,2-4
Спортивная улица,2
Пионерская улица,50
Орловская улица,1
Смольная набережная,8к2
Фермское шоссе,20к1
Свердловская набережная,58
Петровский проспект,2с2
Приморский проспект,78к2
переулок Басков,2
Петровский,проезд Петровская коса
проезд Петровская коса,6к1
Каменноостровский проспект,64К2
Приморский проспект,62к1
Барочная улица,12
Корпусная улица,9
Крестовский проспект,4
Дибуновская улица,22
проезд Петровская коса,6к1
переулок Басков,2
переулок Басков,2
Киевская улица,3
Петровский проспект,5
Киевская улица,3к3Б
Свердловская набережная,58
Кирочная улица,31к2
набережная Адмиралтейского Канала,15
улица Грота,1-3Г
Пионерская улица,50
проспект Динамо,6
улица Смольного,2к3
Орловская улица,1к4
Приморский проспект,78к5
Петровский проспект,24к3
Московский проспект,183-185
Ждановская улица,45
Ждановская улица,45
Приморский проспект,62к1
Киевская улица,3к2Б
Ждановская улица,45
Смоленская улица,14
Ждановская улица,45
переулок Басков,2
улица Рентгена,19
Дибуновская улица,22
улица Эсперова,10
18-я Васильевского острова линия,49
Петровский,проезд Петровская коса
улица Рентгена,25
Константиновский проспект,23
Приморское шоссе,424
Спортивная улица,2
Орловская улица,1
улица Смольного,4к3
проспект Тореза,77К1
улица Победы,3
проспект Тореза,77К1
Вязовая улица,8
Смольная набережная,12
Орловская улица,1к2
Приморское шоссе,424
улица Смольного,2к3
набережная Гребного канала,1
Приморский проспект,78к5
20-я Васильевского острова линия,5
Московское шоссе,3к4
Барочная улица,12
улица Одоевского,21к1
Шпалерная улица,37
Орловская улица,1к4
Крестовский проспект,4
переулок Басков,2
набережная Гребного канала,1
переулок Басков,2
проспект Тореза,77К1
Орловская улица,1к4
Петровский проспект,2
Петровский проспект,5
Приморский проспект,62к1
Барочная улица,12
набережная Гребного канала,1
Смольный проспект,13
переулок Басков,2
переулок Басков,2
переулок Басков,2
Приморский проспект,62к1
Смоленская улица,14
набережная Лейтенанта Шмидта,21
Смольный проспект,13
набережная Реки Карповки,16к2
набережная Адмирала Лазарева,14
улица Коробицына,2Р
Петровский проспект,11к1
Свердловская набережная,58
Московское шоссе,3к4
Пионерская улица,50
переулок Басков,2
Петровский проспект,11к1
Свердловская набережная,58
Смольный проспект,13
Ждановская улица,45
набережная Гребного канала,1
улица Эсперова,10
улица Рентгена,19
Смольная набережная,12
дорога Таможенная,11к1с10
Приморский проспект,78к2
улица Катерников,10к4
Депутатская улица,26
Спортивная улица,2
Орловская улица,1к3
Кирочная улица,70
Наличная улица,26к4
улица Катерников,10к5
Ждановская улица,45
Приморский проспект,62к1
Петровский проспект,11к2
проезд Петровская коса,6к1
Ушаковская набережная,3к4
улица Катерников,6к1
Вязовая улица,8
улица Рентгена,25
Офицерский переулок,8с2
Приморский проспект,46
Московское шоссе,3к4
набережная Гребного канала,1
переулок Басков,2
набережная Адмирала Лазарева,14
набережная Воскресенская,30
набережная Воскресенская,30
переулок Басков,2
улица Катерников,8
улица Катерников,10к1
Приморский проспект,78к5
набережная Воскресенская,30
переулок Басков,2
1-я Никитинская улица,18
Московское шоссе,3к4
Приморский проспект,46
переулок Басков,2
Московское шоссе,3к4
переулок Басков,2
переулок Басков,2
переулок Басков,2
набережная Адмирала Лазарева,22
набережная Адмирала Лазарева,22
набережная Воскресенская,30
проспект Тореза,77К1
Галерная улица,40
Ждановская улица,45
переулок Басков,2
переулок Басков,2
Смоленская улица,14
переулок Басков,2
Московское шоссе,3к4
Приморский проспект,46
Крестовский проспект,4
Ждановская улица,45
Смоленская улица,14
Крестовский проспект,4
улица Смольного,2к3
улица Большая Зеленина,34
Крестовский проспект,4
Институтский проспект,16Б
улица Эсперова,10
Крестовский проспект,4
улица Эсперова,10
улица Эсперова,10
переулок Басков,2
Барочная улица,6
Приморский проспект,78к5
улица Эсперова,10
набережная Адмирала Лазарева,22
Петровский проспект,11к2
Ждановская улица,45
улица Глухая Зеленина,4
Барочная улица,12
Вязовая улица,8
Приморский проспект,62к1
Смольная набережная,12
Приморское шоссе,502АЖ
набережная Адмирала Лазарева,22
переулок Басков,2
улица Грота,1-3Г
Приморский проспект,62к1
улица Грота,1-3Г
переулок Басков,2
Корпусная улица,9
Ждановская улица,45
Приморский проспект,62к1
Петровский проспект,11к1
набережная Макарова,58с2
Смольный проспект,17
Морской проспект,29
Приморский проспект,46
улица Эсперова,16/23
Московский проспект,183-185
Приморский проспект,46
Приморский проспект,62к1
Петровский проспект,11к2
улица Грота,1-3Г
Аптекарский проспект,5
улица Глухая Зеленина,4
улица Глухая Зеленина,4
Парголовский переулок,8
м. Чкаловская,Барочная улица
Стремянная улица,15/1
Ждановская улица,45
Ждановская улица,45
улица Смольного,4к3
Вязовая улица,8
Ковенский переулок,5
Вязовая улица,8
Приморский проспект,62к1
улица Большая Зеленина,34
Киевская улица,3к1Е
Приморский проспект,52К3
Московский проспект,183-185Ак4А
улица Смольного,2к3
Ждановская улица,45
Приморский проспект,46
Корпусная улица,9
Крестовский проспект,12
Дегтярный переулок,26
Дибуновская улица,22
Барочная улица,6
набережная Адмирала Лазарева,22
Ждановская улица,45
Ждановская улица,10
Вязовая улица,8
Орловская улица,1
Ждановская улица,45
Приморский проспект,62к1
проезд Петровская коса,6к1
Константиновский проспект,26
Приморский проспект,46
набережная Мартынова,6
Константиновский проспект,26
Ждановская улица,43к2
Петровский проспект,5
улица Малая Зеленина,8
Морской проспект,28
улица Малая Зеленина,8
