address_street,address_house
Северный проспект,73К4
бульвар Новаторов,67
улица Софьи Ковалевской,14К4
проспект Народного ополчения,165
улица Замшина,9
улица Руставели,22К1
Новоизмайловский проспект,3
Кондратьевский проспект,83К2
улица Евдокима Огнева,4К1
проспект Энергетиков,35к1
Институтский проспект,4К1
Пискаревский проспект,145
проспект Науки,14К6
улица Ольги Берггольц,29К2
проспект Космонавтов,60
Школьная улица,8
Плановая улица,8
Апрельская улица,6К2
проспект Космонавтов,20К2
Дачный проспект,19К3
Тихорецкий проспект,12К1
Северный проспект,87К1
проспект Тореза,38К4
проспект Ветеранов,152К1
проспект Науки,30К1
улица Красной Звезды,25
Ключевая улица,21
Краснопутиловская улица,52
Ленинский проспект,130/6
Счастливая улица,15
улица Вавиловых,11К3
проспект Энергетиков,30К1
улица Бабушкина,107
Новоизмайловский проспект,15
Плановая улица,8
улица Маршала Тухачевского,9
Бассейная улица,25
шоссе Революции,21К2
Кадетский бульвар,24
улица Васенко,11
улица Верности,8К1
улица Червонного Казачества,18
проспект Маршала Блюхера,51К1
Среднеохтинский проспект,3К2
Варшавская улица,41К1
улица Ленсовета,76
Витебский проспект,67
Кузнецовская улица,26
проспект Науки,3
Северный проспект,91К3
проспект Энергетиков,68
проспект Ленина,55
Тверская улица,30
Тверская улица,20
проспект Ленина,55
улица Бутлерова,32
Бухарестская улица,39К1
Болотная улица,17
Гражданский проспект,92К1
Ленинский проспект,155
улица Лени Голикова,23К7
Краснодонская улица,31
шоссе Революции,21К2
Белградская улица,32
Медвежий переулок,2/5
проспект Науки,27
Авангардная улица,7
Александровская улица,36а
улица Костюшко,74
улица Дыбенко,20К1
улица Стасовой,9
улица Дыбенко,24К1
Оранжерейная улица,62
Гражданский проспект,73
Искровский проспект,21
Белградская улица,16
проспект Науки,27
проспект Науки,27
проспект Славы,19К1
Гражданская улица,10
Ленинградская улица,79/27
Пискаревский проспект,17К3
Дрезденская улица,9
Ленинградская улица,26
бульвар Алексея Толстого,30
улица Невзоровой,10
Бестужевская улица,31к1
проспект Энергетиков,35К2
проспект Космонавтов,90
Октябрьская улица,33
улица Козлова,21К2
Октябрьская улица,33
улица Карла Маркса,15
проспект Науки,27
Ключевая улица,9
Кондратьевский проспект,79
улица Маршала Говорова,10
проспект Тореза,79К3
Железноводская улица,58
улица Ленсовета,30
Тихорецкий проспект,9К9
улица Маршала Говорова,14
проспект Славы,35К1
Софийская улица,43К3
бульвар Новаторов,5
Караваевская улица,31К1
проспект Народного ополчения,87
улица Замшина,9
проспект Космонавтов,48К4
улица Зины Портновой,1/3
Гражданский проспект,83К3
Будапештская улица,23К4
Волковский проспект,116
улица Софьи Ковалевской,10К3
проспект Космонавтов,20К2
проспект Космонавтов,84
улица Кибальчича,18
Александровская улица,36а
улица Крыленко,13К1
Искровский проспект,25
проспект Энергетиков,68
Пискаревский проспект,40
проспект Науки,43
проспект Науки,14К6
Витебский проспект,53к1
улица Халтурина,9
улица Отважных,3
проспект Славы,19К1
Тосненский переулок,40
Авангардная улица,7
Московское шоссе,256к2
улица Пограничника Гарькавого,20К3
Гранитная улица,58
шоссе Революции,21К2
улица Орбели,18
Будапештская улица,38К2
улица Фаворского,18
проспект Славы,19К1
Альпийский переулок,28
улица Червонного Казачества,38
Березовая улица,19
Новоизмайловский проспект,2
улица Бутлерова,24
улица Вавиловых,11К1
Пулковская улица,9К2
улица Козлова,21К2
проспект Александровской фермы,3
Варшавская улица,53
Сердобольская улица,13
улица Кибальчича,18
