address_street,address_house,page_number
Крестовский проспект,15
Депутатская улица,26
улица Восстания,8а
Конногвардейский бульвар,5
Очаковская улица,6
Спортивная улица,2
Кирочная улица,64
Морской проспект,15
Ждановская улица,45
набережная Гребного канала,1
Крестовский проспект,15
улица Композиторов,4
Большая Морская улица,6
набережная Макарова,16/2
Песочная набережная,12
Кирочная улица,8А
улица Восстания,6а
Аптекарская набережная,6
Каменноостровский проспект,54/31
Ушаковская набережная,3к4
Литейный проспект,57а
набережная Мартынова,4
Каменноостровский проспект,62
Большая Конюшенная улица,12
Таврическая улица,1
Дворцовая набережная,16
Вязовая улица,8
Караванная улица,8
Вязовая улица,8
улица Рюхина,10
Парадная улица,3к2
Вязовая улица,8
дорога Южная,5
Таврическая улица,1
набережная Мартынова,4
Миллионная улица,29
набережная Мартынова,74
Загородный проспект,24
набережная Адмирала Лазарева,10
Таврическая улица,9
Петровский проспект,24к2
набережная Воскресенская,4
Смоленская улица,14
набережная Мартынова,74
набережная Реки Фонтанки,29/66
Вязовая улица,10
Кемская улица,1
Морской проспект,24
Константиновский проспект,26
2-я Березовая аллея,13-15
улица Профессора Попова,37к3
набережная Реки Фонтанки,76
Вязовая улица,8
переулок Басков,2
Итальянская улица,12а
проспект Динамо,4
Ждановская улица,45
Тверская улица,1
Приморский проспект,62к1
Аптекарская набережная,6
Большая Морская улица,4
Каменноостровский проспект,26-28
Смольный проспект,17
Каменноостровский проспект,26-28
Ждановская улица,45
Морской проспект,15
улица Рубинштейна,15-17
набережная Гребного канала,1
1-я Березовая аллея,7
набережная Адмиралтейского Канала,29
Дворцовая набережная,24
Дубковское шоссе,77
Свердловская набережная,58
Итальянская улица,14/16
Орловская улица,1к3
Кемская улица,14
улица Победы,5
Кронверкский проспект,67/13
Вязовая улица,8
набережная Реки Мойки,31
набережная Реки Фонтанки,28
Морской проспект,33
Петровская набережная,4
Большая Морская улица,46
набережная Мартынова,4
Тверская улица,1
2-я Березовая аллея,13-15
Приморский проспект,46
Ждановская улица,45
Мебельная улица,49/92
улица Большая Зеленина,34
набережная Воскресенская,4
Большая Посадская улица,12
Тверская улица,6
Ковенский переулок,23
Офицерский переулок,8с2
набережная Воскресенская,12
проезд Петровская коса,6к1
Ушаковская набережная,3к4
Полтавский проезд,3
Шпалерная улица,50
Ковенский переулок,19-21
Барочная улица,12
Малая Конюшенная улица,5
Кирочная улица,64
Свердловская набережная,58
Большая Морская улица,4
набережная Воскресенская,4
Тверская улица,4
улица Нахимова,11
Большая Посадская улица,6
Вязовая улица,8
Каменноостровский проспект,64К2
Очаковская улица,5
Кирочная улица,62
Каменноостровский проспект,64К2
Каменноостровский проспект,25/2
Ждановская улица,45
Тверская улица,1
Дивенская улица,5
Морская набережная,31К2
Большая Конюшенная улица,13
Большой Сампсониевский проспект,4-6
набережная Реки Фонтанки,4
Морской проспект,33
Ждановская улица,45
набережная Реки Мойки,32
Смольный проспект,13
Дворцовая набережная,10
Каменноостровский проспект,64К2
Петровский проспект,2с2
Большой Сампсониевский проспект,4-6
Приморский проспект,78к5
Каменноостровский проспект,62
17-я Васильевского острова линия,8
Казанская улица,58
набережная Реки Фонтанки,45
Софийский бульвар,32а
4-я Советская улица,9
Петровский проспект,2с2
Ждановская улица,45
Боровая улица,19А
проезд Петровская коса,6к1
проезд Петровская коса,6к1
Каменноостровский проспект,64К2
Невский проспект,72
набережная Лейтенанта Шмидта,21
Петровский проспект,2с2
Ждановская улица,45
Левашовский проспект,22
Петровский проспект,11к2
Ждановская улица,45
Ждановская улица,45
Ждановская улица,45
Каменноостровский проспект,64К2
Петровский проспект,11к2
Ждановская улица,45
Ждановская улица,45
проспект Римского-Корсакова,1
Парадная улица,3к2
Конногвардейский бульвар,5
Аптекарская набережная,6
переулок Басков,2
набережная Мартынова,74Б
проезд Петровская коса,6к1
улица Смольного,2к3
улица Рентгена,23
Наличная улица,26к1
Кемская улица,1
Морской проспект,33
Кронверкский проспект,23
4-я Васильевского острова линия,5
Средняя улица,32
набережная Реки Крестовки,5К
Адмиралтейская набережная,12-14
Петровский проспект,5
набережная Гребного канала,1
улица Грота,1-3Г
Пионерская улица,50
Крестовский проспект,15
Тележная улица,32
переулок Басков,2
аллея Академика Лихачева,7
проезд Петровская коса,6к1
Смольный проспект,15
Петровский проспект,11к2
Петровский проспект,11к2
улица Грота,1-3Г
Приморский проспект,52К1
набережная Воскресенская,4
Дворцовая набережная,12
Крестовский проспект,30
Динамовская улица,2
набережная Кутузова,12
Конногвардейский бульвар,5
Барочная улица,2
дорога Южная,5
Таврическая улица,1
Пискаревский проспект,1
набережная Крюкова Канала,14
Вязовая улица,8
набережная Адмирала Лазарева,14
Барочная улица,6
Смольный проспект,13
Пискаревский проспект,1
Каменноостровский проспект,57
набережная Реки Фонтанки,66
переулок Басков,2
Миллионная улица,17
Морской проспект,33
Каменноостровский проспект,64К2
набережная Адмирала Лазарева,14
Каменноостровский проспект,64К2
Фермское шоссе,20к1
Полтавский проезд,3
набережная Канала Грибоедова,25
Каменноостровский проспект,73-75
улица Чайковского,38/9
3-я Васильевского острова линия,20
Орловская улица,1
Большая Морская улица,4
Аптекарский переулок,4
Малая Конюшенная улица,5
Тверская улица,4
Петровский проспект,2
Смольный проспект,13
улица Чайковского,27
набережная Адмиралтейского Канала,21
Корпусная улица,9
Большой Сампсониевский проспект,4-6
Театральная площадь,16
Невский проспект,32-34
улица Рубинштейна,15-17
Петровский проспект,5
улица Малая Зеленина,8
набережная Мартынова,74
Дубковское шоссе,40к1
Кирочная улица,64
Таврическая улица,39
Большая Конюшенная улица,13
улица Большая Зеленина,32
проезд Петровская коса,6к1
Крестовский проспект,15
улица Льва Толстого,7
Литейный проспект,61
набережная Реки Фонтанки,45
Морская набережная,43К1
набережная Реки Мойки,32
набережная Реки Мойки,32
Исполкомская улица,4-6
переулок Басков,2
Крестовский проспект,15
Свердловская набережная,58
Ждановская улица,45
Смольная набережная,8к2
проспект Добролюбова,19
Смольная набережная,12
Крестовский проспект,26
улица Блохина,13
Каменноостровский проспект,19/13
набережная Мартынова,4
Каменноостровский проспект,62
набережная Реки Карповки,16к2
Петровский проспект,9Л
улица Грота,1-3Г
Тверская улица,1
Приморский проспект,78к2Б
Смоленская улица,14
Московский проспект,183-185Ак8
Смольный проспект,6
Петровская набережная,4
Зоологический переулок,2-4
27-я Васильевского острова линия,16Б
Каменноостровский проспект,26-28
Парадная улица,3к2
улица Пестеля,13-15
Орловская улица,1
Константиновский проспект,23
Константиновский проспект,26
набережная Кутузова,32
Приморский проспект,78к2
дорога Южная,5
набережная Кутузова,32
набережная Макарова,14
Фурштатская улица,9
улица Чайковского,40
Петровский проспект,5
Барочная улица,12
Каменноостровский проспект,26-28
Фурштатская улица,9
Кирочная улица,64
Орловская улица,1
Большая Монетная улица,9
Свердловская набережная,58
Кронверкский проспект,23
Свердловская набережная,58
Приморский проспект,78к5
Суворовский проспект,17
Приморский проспект,62к1
9-я Советская улица,5
набережная Гребного канала,1
Смольный проспект,17
Пионерская улица,50
Каменноостровский проспект,64К2
набережная Лейтенанта Шмидта,21
Большая Конюшенная улица,12
Невский проспект,152
улица Маяковского,36-38
улица Шарова,4
набережная Реки Мойки,5
Дибуновская улица,22
Ждановская улица,8
Дворцовая набережная,12
набережная Лейтенанта Шмидта,21
проспект Маршала Жукова,66к2
Приморский проспект,137к1
Киевская улица,3к3Б
дорога Таможенная,11к1с1
набережная Реки Фонтанки,76к2
Кронверкский проспект,23
Галерная улица,52А
Московский проспект,4
переулок Басков,2
Киевская улица,3
Большой Сампсониевский проспект,4-6
переулок Басков,2
набережная Мартынова,4
проезд Петровская коса,6к1
Петровский проспект,11к2
Барочная улица,6
проспект Тореза,77К1
переулок Басков,2
проспект Римского-Корсакова,29
Мытнинская набережная,3
улица Смольного,2к3
Шпалерная улица,52
11-я Васильевского острова линия,20
набережная Реки Фонтанки,55
Миллионная улица,32
8-я Советская улица,37-39
Аптекарская набережная,6
Дибуновская улица,22
улица Чайковского,36
Итальянская улица,33
Морской проспект,24
8-я Советская улица,37-39
11-я Васильевского острова линия,20
улица Восстания,40
Миллионная улица,38
набережная Реки Фонтанки,54
Большая Посадская улица,6
Крестовский проспект,15
1-я Никитинская улица,18
Дворцовая улица,5/1
Каменноостровский проспект,38/96
11-я Васильевского острова линия,20
Тверская улица,1
набережная Реки Фонтанки,52
улица Эсперова,10
Морская набережная,21к2
набережная Адмиралтейского Канала,15
Кирочная улица,31к2
Песочная улица,6
Пионерская улица,50
набережная Реки Мойки,31
Дибуновская улица,22
Фурштатская улица,33
Приморский проспект,62к1
Невский проспект,63
улица Смольного,4к3
Смоленская улица,14
Приморский проспект,78к5
